isbn,book_title,author,genre,publisher,price,rating,copies_sold
441312844-3,"Farmer's Daughter, The",Serge Salzburg,Fantasy,Livetube,12.34,0.9,19817691
482186373-1,In the Soup,Hannah Jaskowicz,Thriller,Ooba,15.01,4,11728609
064688276-7,Paheli,Damon Mithon,Romance,Yacero,8.89,0.1,16372620
686593840-2,Flight from Death: The Quest for Immortality,Mort Vondracek,Romance,Livetube,29.72,4.5,1662219
415821309-6,The Puzzle,Rici Curman,Romance,Browsetype,24.69,5,9078239
538969375-2,Priest,Gianni Hindmoor,Romance,Katz,36.06,4.6,5848946
022480206-2,West Side Story,Kippie Kenworthey,Fantasy,Brainlounge,44.9,3.9,13860844
745482476-5,"Forest for the Trees, The (Der Wald vor lauter Bäumen)",Geoff Shapcott,Mystery,Photospace,4.4,0.9,19463610
913030366-4,High on Crack Street: Lost Lives in Lowell,Dede Dell Casa,Romance,Agimba,25.18,3.9,5351548
790289743-4,Krull,Brad Monck,Romance,Rhyzio,14.8,4.7,19177840
917653738-2,Hannah Arendt,Padgett Junkison,Romance,Riffwire,11.51,4.2,5454613
717141804-9,G.B.F.,Reeta Whyard,Thriller,Podcat,23.5,2.6,10611495
374964934-0,"Boeing, Boeing",Hadley Ramalhete,Nonfiction,Oba,5.25,2.4,2547353
817838603-8,Zatoichi Meets the One-Armed Swordsman (Shin zatô Ichi: Yabure! Tôjin-ken) (Zatôichi 22),Luther Lackham,Mystery,Quamba,3.65,1.1,6475573
327315700-3,"Stooge, The",Thelma Clink,Nonfiction,Skiptube,40.61,2.6,2707360
685605525-0,Dolemite,Lucius Thirsk,Historical,Centimia,46.91,1.4,10244526
475835410-3,"Rat Savior, The (Izbavitelj)",Gray Champness,Science Fiction,Eire,2.45,5,2503796
566838218-4,Yesterday,Gabie Kofax,Mystery,Tagfeed,34.14,3,5984614
939925676-6,Strangers on a Train,Judye Gilbanks,Science Fiction,Divanoodle,47.12,3.7,1232710
580418118-1,Red Army,Mariette Seller,Nonfiction,Flipbug,22.54,2.6,3203853
447727269-3,"Package, The",Marena Coronado,Nonfiction,Babbleset,31.29,4.2,2089795
620101299-0,Naan Kadavul,Tedd Gleadhell,Thriller,Topdrive,6.7,4,6976815
413835544-8,"Dispatch from Reuter's, A",Ina Fidell,Nonfiction,Photobug,30.63,5,17407343
307942784-X,"Last Letter, The (La dernière lettre)",Rosa Glaisner,Fantasy,Agivu,29.68,0.9,5868193
976178113-5,Rockabilly Vampire,Beckie Soars,Fantasy,Tanoodle,5.88,0.9,4378537
694089683-X,Nicky's Family,Moises Ballay,Historical,Buzzbean,47.46,1.9,12090502
698266380-9,Storage 24,Merline Goodall,Romance,Centizu,27,2.9,9979214
581500525-8,Nick the Sting,Laurel Penhalurick,Nonfiction,Plambee,30.58,1.9,5958279
485776206-4,"Kid, The",Mortimer Hiscoe,Fantasy,Wikido,7.71,3.3,17375137
074076939-1,"Joker Is Wild, The (All the Way)",Maryjane Markussen,Science Fiction,Ooba,42.42,2.6,9195470
783414282-8,"People That Time Forgot, The",Tremaine Offen,Science Fiction,Linklinks,17.17,4.9,10058439
255277977-8,Burden of Dreams,Davida Simcoe,Thriller,Dynazzy,26.12,3.6,5266592
299841407-9,Keep the Lights On,Tiebout Belderfield,Historical,Topdrive,25.65,4.2,13930061
431655501-4,"Inconvenient Truth, An",Courtney Gorgen,Mystery,Zooxo,44.09,0.4,74582
613696970-X,Hitch,Gardy Dunbleton,Science Fiction,Voomm,24.25,2.3,18070450
481932694-5,Ernest & Célestine (Ernest et Célestine),Augusta Keal,Historical,Trudeo,26.19,4.5,3711430
356405408-1,My Demon Lover,Brnaba Pawlicki,Nonfiction,Skajo,39.76,3.3,2492723
216807927-7,The Boy Next Door,Fredi Dryburgh,Nonfiction,Snaptags,37.27,2,164597
868828326-5,Three Colors: Red (Trois couleurs: Rouge),Camellia Joy,Historical,Flashpoint,22.53,1.6,6217352
342968988-0,Fear Me Not (Den du frygter),Filmore Dymock,Fantasy,Yakidoo,34.97,2.1,518547
